starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	66	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	19
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	92	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	93	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	67	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	25	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	94	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	94	20
Thu Sep 03 14:53:19 2020	1599124999	68	27	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	70	25	95	20
Thu Sep 03 14:53:19 2020	1599124999	69	26	95	20
