starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	53	16
Thu Sep 03 14:55:28 2020	1599125128	21	33	53	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	53	16
Thu Sep 03 14:55:29 2020	1599125129	35	18	53	17
Thu Sep 03 14:55:29 2020	1599125129	36	17	54	11
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	35	18	54	17
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	35	18	54	17
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	35	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	35	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:27 2020	1599125127	23	31	54	14
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:27 2020	1599125127	20	34	54	18
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	38	16	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:28 2020	1599125128	22	32	54	21
Thu Sep 03 14:55:28 2020	1599125128	22	32	54	21
Thu Sep 03 14:55:27 2020	1599125127	20	34	54	18
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:27 2020	1599125127	27	27	54	16
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:28 2020	1599125128	22	32	54	21
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:27 2020	1599125127	27	27	54	16
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	20	34	54	18
Thu Sep 03 14:55:27 2020	1599125127	21	34	54	18
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:29 2020	1599125129	36	19	54	17
Thu Sep 03 14:55:27 2020	1599125127	27	27	54	16
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	17
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	19	54	17
Thu Sep 03 14:55:27 2020	1599125127	27	28	54	16
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:27 2020	1599125127	21	34	54	18
Thu Sep 03 14:55:27 2020	1599125127	27	27	54	16
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	19	54	17
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	19	35	54	22
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:27 2020	1599125127	28	26	54	18
Thu Sep 03 14:55:27 2020	1599125127	27	27	54	16
Thu Sep 03 14:55:28 2020	1599125128	21	33	54	21
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	28	26	54	18
Thu Sep 03 14:55:28 2020	1599125128	23	32	54	20
Thu Sep 03 14:55:28 2020	1599125128	24	31	54	21
Thu Sep 03 14:55:29 2020	1599125129	36	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	36	19	54	17
Thu Sep 03 14:55:27 2020	1599125127	19	35	54	22
Thu Sep 03 14:55:28 2020	1599125128	22	32	54	21
Thu Sep 03 14:55:27 2020	1599125127	28	27	54	18
Thu Sep 03 14:55:28 2020	1599125128	22	33	54	21
Thu Sep 03 14:55:27 2020	1599125127	28	26	54	18
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:29 2020	1599125129	37	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	27	27	54	16
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:28 2020	1599125128	26	28	54	21
Thu Sep 03 14:55:29 2020	1599125129	36	19	54	17
Thu Sep 03 14:55:28 2020	1599125128	26	28	54	21
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:29 2020	1599125129	37	18	54	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	28	27	54	18
Thu Sep 03 14:55:28 2020	1599125128	24	31	54	21
Thu Sep 03 14:55:29 2020	1599125129	38	17	54	11
Thu Sep 03 14:55:27 2020	1599125127	24	30	54	15
Thu Sep 03 14:55:27 2020	1599125127	26	28	54	16
Thu Sep 03 14:55:27 2020	1599125127	28	26	54	18
Thu Sep 03 14:55:27 2020	1599125127	28	26	54	18
Thu Sep 03 14:55:27 2020	1599125127	27	27	55	16
Thu Sep 03 14:55:29 2020	1599125129	36	19	55	17
Thu Sep 03 14:55:27 2020	1599125127	29	26	55	18
Thu Sep 03 14:55:28 2020	1599125128	21	33	55	21
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:27 2020	1599125127	19	35	55	22
Thu Sep 03 14:55:27 2020	1599125127	27	28	55	16
Thu Sep 03 14:55:28 2020	1599125128	24	30	55	21
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:28 2020	1599125128	22	33	55	21
Thu Sep 03 14:55:27 2020	1599125127	27	28	55	16
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:28 2020	1599125128	22	32	55	21
Thu Sep 03 14:55:29 2020	1599125129	38	16	55	11
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:29 2020	1599125129	36	19	55	17
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:27 2020	1599125127	28	26	55	18
Thu Sep 03 14:55:27 2020	1599125127	26	29	55	16
Thu Sep 03 14:55:27 2020	1599125127	28	27	55	18
Thu Sep 03 14:55:27 2020	1599125127	28	26	55	18
Thu Sep 03 14:55:27 2020	1599125127	27	27	55	16
Thu Sep 03 14:55:28 2020	1599125128	21	33	55	21
Thu Sep 03 14:55:28 2020	1599125128	24	31	55	22
Thu Sep 03 14:55:28 2020	1599125128	22	32	55	21
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	19	36	55	22
Thu Sep 03 14:55:28 2020	1599125128	21	34	55	21
Thu Sep 03 14:55:29 2020	1599125129	38	16	55	11
Thu Sep 03 14:55:29 2020	1599125129	36	19	55	17
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:28 2020	1599125128	24	31	55	21
Thu Sep 03 14:55:27 2020	1599125127	27	28	55	16
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:27 2020	1599125127	28	26	55	18
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:27 2020	1599125127	26	29	55	16
Thu Sep 03 14:55:28 2020	1599125128	21	33	55	21
Thu Sep 03 14:55:29 2020	1599125129	38	16	55	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	28	27	55	18
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:29 2020	1599125129	36	19	55	17
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	28	26	55	18
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
Thu Sep 03 14:55:29 2020	1599125129	37	17	55	11
Thu Sep 03 14:55:27 2020	1599125127	19	36	55	22
Thu Sep 03 14:55:29 2020	1599125129	36	19	55	17
Thu Sep 03 14:55:27 2020	1599125127	24	31	55	15
Thu Sep 03 14:55:27 2020	1599125127	26	29	55	16
Thu Sep 03 14:55:29 2020	1599125129	37	18	55	11
Thu Sep 03 14:55:27 2020	1599125127	29	26	55	18
Thu Sep 03 14:55:28 2020	1599125128	21	33	55	21
Thu Sep 03 14:55:29 2020	1599125129	38	17	55	11
