starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	12	26	38	26
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	26	38	26
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	23
Thu Sep 03 14:56:00 2020	1599125160	10	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	23
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	23
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	22
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	11	27	38	23
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	10	28	38	24
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	24
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	24
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	29	38	25
Thu Sep 03 14:56:00 2020	1599125160	9	30	38	26
Thu Sep 03 14:56:00 2020	1599125160	9	30	38	26
Thu Sep 03 14:56:00 2020	1599125160	9	30	38	26
Thu Sep 03 14:56:00 2020	1599125160	8	30	38	26
Thu Sep 03 14:56:00 2020	1599125160	8	30	38	26
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	28
Thu Sep 03 14:56:00 2020	1599125160	7	32	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	32	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	29
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	30
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	30
Thu Sep 03 14:56:00 2020	1599125160	6	33	39	30
Thu Sep 03 14:56:00 2020	1599125160	6	34	39	30
Thu Sep 03 14:56:00 2020	1599125160	6	34	39	30
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	30
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	30
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	30
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	30
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	34	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	35	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	35	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	35	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	35	39	31
Thu Sep 03 14:56:00 2020	1599125160	5	35	39	31
Thu Sep 03 14:56:00 2020	1599125160	4	35	39	32
Thu Sep 03 14:56:00 2020	1599125160	4	35	39	32
Thu Sep 03 14:56:00 2020	1599125160	2	37	39	35
Thu Sep 03 14:56:00 2020	1599125160	2	37	39	35
Thu Sep 03 14:56:00 2020	1599125160	2	37	39	35
Thu Sep 03 14:56:00 2020	1599125160	2	37	39	35
Thu Sep 03 14:56:00 2020	1599125160	4	35	39	32
Thu Sep 03 14:56:00 2020	1599125160	2	38	39	36
Thu Sep 03 14:56:00 2020	1599125160	3	37	39	34
Thu Sep 03 14:56:00 2020	1599125160	2	37	39	35
Thu Sep 03 14:56:00 2020	1599125160	2	38	39	36
Thu Sep 03 14:56:00 2020	1599125160	3	37	39	34
Thu Sep 03 14:56:00 2020	1599125160	2	37	39	35
Thu Sep 03 14:56:00 2020	1599125160	4	35	39	32
Thu Sep 03 14:56:00 2020	1599125160	3	37	39	34
Thu Sep 03 14:56:00 2020	1599125160	2	38	39	36
Thu Sep 03 14:56:00 2020	1599125160	3	36	39	34
Thu Sep 03 14:56:00 2020	1599125160	3	36	39	34
Thu Sep 03 14:56:00 2020	1599125160	1	38	39	36
Thu Sep 03 14:56:00 2020	1599125160	2	38	39	35
Thu Sep 03 14:56:00 2020	1599125160	3	37	39	34
Thu Sep 03 14:56:00 2020	1599125160	4	35	39	32
Thu Sep 03 14:56:00 2020	1599125160	3	36	39	34
Thu Sep 03 14:56:00 2020	1599125160	3	36	39	34
Thu Sep 03 14:56:00 2020	1599125160	3	36	39	34
Thu Sep 03 14:56:00 2020	1599125160	1	38	39	36
Thu Sep 03 14:56:00 2020	1599125160	4	36	39	32
Thu Sep 03 14:56:00 2020	1599125160	3	36	39	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	39	34
Thu Sep 03 14:56:00 2020	1599125160	4	36	39	32
Thu Sep 03 14:56:00 2020	1599125160	4	36	40	33
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	1	38	40	36
Thu Sep 03 14:56:00 2020	1599125160	4	36	40	33
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	1	38	40	36
Thu Sep 03 14:56:00 2020	1599125160	1	38	40	36
Thu Sep 03 14:56:00 2020	1599125160	1	38	40	36
Thu Sep 03 14:56:00 2020	1599125160	0	39	40	38
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	36	40	33
Thu Sep 03 14:56:00 2020	1599125160	1	38	40	36
Thu Sep 03 14:56:00 2020	1599125160	1	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	1	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	1	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	1	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	0	39	40	38
Thu Sep 03 14:56:00 2020	1599125160	3	36	40	33
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	1	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	1	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	0	39	40	38
Thu Sep 03 14:56:00 2020	1599125160	1	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	0	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	36	40	33
Thu Sep 03 14:56:00 2020	1599125160	0	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	0	39	40	37
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	33
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:00 2020	1599125160	3	37	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	33
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	33
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	37	40	34
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	34
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	37	40	34
Thu Sep 03 14:56:01 2020	1599125161	4	37	40	34
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	34
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	37	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	38	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	38	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	38	40	35
Thu Sep 03 14:56:01 2020	1599125161	3	38	40	35
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	39	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	38	40	36
Thu Sep 03 14:56:01 2020	1599125161	2	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	2	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	2	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	33
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	2	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	33
Thu Sep 03 14:56:01 2020	1599125161	4	36	40	33
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	37
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	38
Thu Sep 03 14:56:01 2020	1599125161	1	39	40	38
Thu Sep 03 14:56:01 2020	1599125161	1	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	1	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	1	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	1	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	1	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	1	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	0	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	0	40	40	38
Thu Sep 03 14:56:01 2020	1599125161	0	40	40	39
Thu Sep 03 14:56:01 2020	1599125161	0	40	41	39
Thu Sep 03 14:56:01 2020	1599125161	0	40	41	39
Thu Sep 03 14:56:01 2020	1599125161	0	40	41	39
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	33
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	33
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	33
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	33
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	29
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	4	38	42	33
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	4	38	42	33
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	29
Thu Sep 03 14:56:01 2020	1599125161	8	35	42	29
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	29
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	4	38	42	33
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	27
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	28
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	29
Thu Sep 03 14:56:01 2020	1599125161	8	34	42	29
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	9	33	42	27
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	30
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	30
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	7	36	42	30
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	7	35	42	30
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	5	37	42	32
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	37	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	37	42	31
Thu Sep 03 14:56:01 2020	1599125161	6	36	42	31
